iso_code,continent,location,population,population_density,date,reproduction_rate,icu_patients,hosp_patients,weekly_icu_admissions,weekly_hosp_admissions
AFG,Asia,Afghanistan,39835428,54.422,2/24/2020,,,,,
AFG,Asia,Afghanistan,39835428,54.422,2/25/2020,,,,,
AFG,Asia,Afghanistan,39835428,54.422,2/26/2020,,,,,
AFG,Asia,Afghanistan,39835428,54.422,2/27/2020,,,,,
AFG,Asia,Afghanistan,39835428,54.422,2/28/2020,,,,,
AFG,Asia,Afghanistan,39835428,54.422,2/29/2020,,,,,
AFG,Asia,Afghanistan,39835428,54.422,3/1/2020,,,,,
AFG,Asia,Afghanistan,39835428,54.422,3/2/2020,,,,,
AFG,Asia,Afghanistan,39835428,54.422,3/3/2020,,,,,
AFG,Asia,Afghanistan,39835428,54.422,3/4/2020,,,,,
AFG,Asia,Afghanistan,39835428,54.422,3/5/2020,,,,,
AFG,Asia,Afghanistan,39835428,54.422,3/6/2020,,,,,
AFG,Asia,Afghanistan,39835428,54.422,3/7/2020,,,,,
AFG,Asia,Afghanistan,39835428,54.422,3/8/2020,,,,,
AFG,Asia,Afghanistan,39835428,54.422,3/9/2020,,,,,
AFG,Asia,Afghanistan,39835428,54.422,3/10/2020,,,,,
AFG,Asia,Afghanistan,39835428,54.422,3/11/2020,,,,,
AFG,Asia,Afghanistan,39835428,54.422,3/12/2020,,,,,
AFG,Asia,Afghanistan,39835428,54.422,3/13/2020,,,,,
AFG,Asia,Afghanistan,39835428,54.422,3/14/2020,,,,,
AFG,Asia,Afghanistan,39835428,54.422,3/15/2020,,,,,
AFG,Asia,Afghanistan,39835428,54.422,3/16/2020,,,,,
AFG,Asia,Afghanistan,39835428,54.422,3/17/2020,,,,,
AFG,Asia,Afghanistan,39835428,54.422,3/18/2020,,,,,
AFG,Asia,Afghanistan,39835428,54.422,3/19/2020,,,,,
AFG,Asia,Afghanistan,39835428,54.422,3/20/2020,,,,,
AFG,Asia,Afghanistan,39835428,54.422,3/21/2020,,,,,
AFG,Asia,Afghanistan,39835428,54.422,3/22/2020,,,,,
AFG,Asia,Afghanistan,39835428,54.422,3/23/2020,,,,,
AFG,Asia,Afghanistan,39835428,54.422,3/24/2020,,,,,
AFG,Asia,Afghanistan,39835428,54.422,3/25/2020,,,,,
AFG,Asia,Afghanistan,39835428,54.422,3/26/2020,,,,,
AFG,Asia,Afghanistan,39835428,54.422,3/27/2020,,,,,
AFG,Asia,Afghanistan,39835428,54.422,3/28/2020,,,,,
AFG,Asia,Afghanistan,39835428,54.422,3/29/2020,1.5,,,,
AFG,Asia,Afghanistan,39835428,54.422,3/30/2020,1.5,,,,
AFG,Asia,Afghanistan,39835428,54.422,3/31/2020,1.51,,,,
AFG,Asia,Afghanistan,39835428,54.422,4/1/2020,1.51,,,,
AFG,Asia,Afghanistan,39835428,54.422,4/2/2020,1.5,,,,
AFG,Asia,Afghanistan,39835428,54.422,4/3/2020,1.49,,,,
AFG,Asia,Afghanistan,39835428,54.422,4/4/2020,1.49,,,,
AFG,Asia,Afghanistan,39835428,54.422,4/5/2020,1.49,,,,
AFG,Asia,Afghanistan,39835428,54.422,4/6/2020,1.49,,,,
AFG,Asia,Afghanistan,39835428,54.422,4/7/2020,1.48,,,,
AFG,Asia,Afghanistan,39835428,54.422,4/8/2020,1.48,,,,
AFG,Asia,Afghanistan,39835428,54.422,4/9/2020,1.48,,,,
AFG,Asia,Afghanistan,39835428,54.422,4/10/2020,1.48,,,,
AFG,Asia,Afghanistan,39835428,54.422,4/11/2020,1.47,,,,
AFG,Asia,Afghanistan,39835428,54.422,4/12/2020,1.48,,,,
AFG,Asia,Afghanistan,39835428,54.422,4/13/2020,1.48,,,,
AFG,Asia,Afghanistan,39835428,54.422,4/14/2020,1.48,,,,
AFG,Asia,Afghanistan,39835428,54.422,4/15/2020,1.48,,,,
AFG,Asia,Afghanistan,39835428,54.422,4/16/2020,1.47,,,,
AFG,Asia,Afghanistan,39835428,54.422,4/17/2020,1.47,,,,
AFG,Asia,Afghanistan,39835428,54.422,4/18/2020,1.47,,,,
AFG,Asia,Afghanistan,39835428,54.422,4/19/2020,1.48,,,,
AFG,Asia,Afghanistan,39835428,54.422,4/20/2020,1.48,,,,
AFG,Asia,Afghanistan,39835428,54.422,4/21/2020,1.49,,,,
AFG,Asia,Afghanistan,39835428,54.422,4/22/2020,1.5,,,,
AFG,Asia,Afghanistan,39835428,54.422,4/23/2020,1.51,,,,
AFG,Asia,Afghanistan,39835428,54.422,4/24/2020,1.52,,,,
AFG,Asia,Afghanistan,39835428,54.422,4/25/2020,1.54,,,,
AFG,Asia,Afghanistan,39835428,54.422,4/26/2020,1.55,,,,
AFG,Asia,Afghanistan,39835428,54.422,4/27/2020,1.55,,,,
AFG,Asia,Afghanistan,39835428,54.422,4/28/2020,1.56,,,,
AFG,Asia,Afghanistan,39835428,54.422,4/29/2020,1.56,,,,
AFG,Asia,Afghanistan,39835428,54.422,4/30/2020,1.57,,,,
AFG,Asia,Afghanistan,39835428,54.422,5/1/2020,1.58,,,,
AFG,Asia,Afghanistan,39835428,54.422,5/2/2020,1.59,,,,
AFG,Asia,Afghanistan,39835428,54.422,5/3/2020,1.58,,,,
AFG,Asia,Afghanistan,39835428,54.422,5/4/2020,1.58,,,,
AFG,Asia,Afghanistan,39835428,54.422,5/5/2020,1.59,,,,
AFG,Asia,Afghanistan,39835428,54.422,5/6/2020,1.61,,,,
AFG,Asia,Afghanistan,39835428,54.422,5/7/2020,1.59,,,,
